,Unnamed: 0,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Hotel stars,Nr. rooms,Member years,Num Traveler type,Num User country,Num Hotel name,Dummy Pool,Dummy Gym,Dummy Tennis,Dummy Spa,Dummy Casino,Dummy Free Internet,Num Review month,Num User continent
85,85,43,14,27,4,4,2884,5,5,24,4,1,1,1,1,1,1,7,3
86,86,97,31,37,4,4,2884,8,4,21,4,1,1,1,1,1,1,8,6
87,87,7,3,4,4,4,2884,5,4,2,4,1,1,1,1,1,1,8,2
88,88,11,9,6,3,4,2884,0,4,2,4,1,1,1,1,1,1,9,2
89,89,78,11,30,4,4,2884,2,2,1,4,1,1,1,1,1,1,9,1
90,90,12,7,4,5,4,2884,5,3,5,4,1,1,1,1,1,1,10,4
91,91,27,11,5,3,4,2884,2,4,1,4,1,1,1,1,1,1,10,1
92,92,4,3,1,5,4,2884,7,4,25,4,1,1,1,1,1,1,11,3
93,93,27,9,8,4,4,2884,2,3,5,4,1,1,1,1,1,1,11,4
94,94,12,3,7,4,4,2884,4,1,3,4,1,1,1,1,1,1,12,1
95,95,21,16,48,5,4,2884,12,4,3,4,1,1,1,1,1,1,12,1
96,96,34,17,30,4,4,1467,8,3,2,5,1,1,1,1,1,1,1,2
97,97,12,6,1,5,4,1467,2,1,1,5,1,1,1,1,1,1,1,1
98,98,79,39,51,3,4,1467,5,4,26,5,1,1,1,1,1,1,2,3
99,99,18,10,16,3,4,1467,2,2,27,5,1,1,1,1,1,1,2,3
100,100,13,3,8,4,4,1467,3,2,3,5,1,1,1,1,1,1,3,1
101,101,14,4,9,4,4,1467,1,4,2,5,1,1,1,1,1,1,3,2
102,102,19,9,28,5,4,1467,3,4,7,5,1,1,1,1,1,1,4,2
103,103,88,15,103,4,4,1467,3,2,28,5,1,1,1,1,1,1,4,3
104,104,8,4,0,4,4,1467,1,4,6,5,1,1,1,1,1,1,5,4
105,105,39,15,31,3,4,1467,1,1,29,5,1,1,1,1,1,1,5,2
106,106,130,41,61,4,4,1467,3,2,2,5,1,1,1,1,1,1,6,2
107,107,79,78,105,4,4,1467,7,1,5,5,1,1,1,1,1,1,6,4
108,108,13,10,16,4,4,1467,10,5,2,5,1,1,1,1,1,1,7,2
109,109,18,6,17,4,4,1467,1,4,2,5,1,1,1,1,1,1,7,2
110,110,8,7,3,5,4,1467,1,1,6,5,1,1,1,1,1,1,8,4
111,111,15,4,6,5,4,1467,0,4,5,5,1,1,1,1,1,1,8,4
112,112,27,0,9,1,4,1467,0,4,3,5,1,1,1,1,1,1,9,1
113,113,5,3,2,5,4,1467,5,4,5,5,1,1,1,1,1,1,9,4
114,114,22,6,6,5,4,1467,1,1,2,5,1,1,1,1,1,1,10,2
115,115,5,3,11,2,4,1467,1,1,1,5,1,1,1,1,1,1,10,1
116,116,31,8,11,4,4,1467,1,5,4,5,1,1,1,1,1,1,11,3
117,117,33,8,8,5,4,1467,7,1,12,5,1,1,1,1,1,1,11,2
118,118,10,6,11,5,4,1467,4,4,2,5,1,1,1,1,1,1,12,2
119,119,12,3,3,5,4,1467,4,3,2,5,1,1,1,1,1,1,12,2
120,120,50,14,24,5,5,3348,7,1,1,6,1,1,0,1,1,1,1,1
121,121,161,33,85,4,5,3348,3,4,1,6,1,1,0,1,1,1,1,1
122,122,153,38,81,5,5,3348,10,3,30,6,1,1,0,1,1,1,2,1
123,123,14,3,12,5,5,3348,2,3,3,6,1,1,0,1,1,1,2,1
124,124,31,12,10,5,5,3348,4,3,1,6,1,1,0,1,1,1,3,1
125,125,15,10,29,3,5,3348,9,3,1,6,1,1,0,1,1,1,3,1
126,126,5,5,4,5,5,3348,3,4,3,6,1,1,0,1,1,1,4,1
127,127,46,4,21,4,5,3348,2,4,1,6,1,1,0,1,1,1,4,1
128,128,15,6,39,1,5,3348,4,4,2,6,1,1,0,1,1,1,5,2
129,129,63,27,35,4,5,3348,5,4,2,6,1,1,0,1,1,1,5,2
130,130,17,15,13,4,5,3348,2,4,1,6,1,1,0,1,1,1,6,1
131,131,25,22,36,1,5,3348,9,5,1,6,1,1,0,1,1,1,6,1
132,132,14,8,4,5,5,3348,1,4,1,6,1,1,0,1,1,1,7,1
133,133,59,56,37,3,5,3348,6,3,2,6,1,1,0,1,1,1,7,2
134,134,11,10,17,5,5,3348,3,3,2,6,1,1,0,1,1,1,8,2
135,135,54,18,31,4,5,3348,5,1,3,6,1,1,0,1,1,1,8,1
136,136,4,3,4,5,5,3348,3,4,1,6,1,1,0,1,1,1,9,1
137,137,10,7,7,5,5,3348,3,4,1,6,1,1,0,1,1,1,9,1
138,138,14,6,7,5,5,3348,11,2,1,6,1,1,0,1,1,1,10,1
139,139,39,12,16,5,5,3348,2,1,1,6,1,1,0,1,1,1,10,1
140,140,35,24,43,5,5,3348,4,4,5,6,1,1,0,1,1,1,11,4
141,141,6,6,9,3,5,3348,0,3,5,6,1,1,0,1,1,1,11,4
142,142,23,7,2,4,5,3348,3,3,1,6,1,1,0,1,1,1,12,1
143,143,48,21,67,4,5,3348,13,4,1,6,1,1,0,1,1,1,12,1
144,144,16,9,14,4,5,2959,3,1,5,7,1,1,0,1,1,1,1,4
145,145,12,6,3,5,5,2959,1,1,5,7,1,1,0,1,1,1,1,4
146,146,36,9,15,4,5,2959,2,1,31,7,1,1,0,1,1,1,2,2
147,147,127,40,80,5,5,2959,8,4,2,7,1,1,0,1,1,1,2,2
148,148,12,5,1,5,5,2959,1,4,1,7,1,1,0,1,1,1,3,1
149,149,17,17,74,5,5,2959,10,4,1,7,1,1,0,1,1,1,3,1
150,150,23,7,21,4,5,2959,7,1,7,7,1,1,0,1,1,1,4,2
151,151,102,17,45,5,5,2959,2,2,1,7,1,1,0,1,1,1,4,1
152,152,113,15,55,5,5,2959,8,3,23,7,1,1,0,1,1,1,5,2
153,153,30,8,10,2,5,2959,1,2,1,7,1,1,0,1,1,1,5,1
154,154,24,24,24,2,5,2959,7,4,23,7,1,1,0,1,1,1,6,2
155,155,15,5,18,5,5,2959,3,1,7,7,1,1,0,1,1,1,6,2
156,156,6,4,14,1,5,2959,1,2,1,7,1,1,0,1,1,1,7,1
157,157,3,3,0,4,5,2959,7,1,5,7,1,1,0,1,1,1,7,4
158,158,41,10,56,5,5,2959,4,3,3,7,1,1,0,1,1,1,8,1
159,159,19,8,56,4,5,2959,10,4,1,7,1,1,0,1,1,1,8,1
160,160,18,9,10,5,5,2959,1,4,2,7,1,1,0,1,1,1,9,2
161,161,6,6,7,5,5,2959,7,4,32,7,1,1,0,1,1,1,9,2
162,162,103,5,98,5,5,2959,7,4,1,7,1,1,0,1,1,1,10,1
163,163,18,4,16,5,5,2959,0,1,2,7,1,1,0,1,1,1,10,2
164,164,9,7,7,5,5,2959,5,2,8,7,1,1,0,1,1,1,11,5
165,165,50,19,45,5,5,2959,0,2,1,7,1,1,0,1,1,1,11,1
166,166,4,3,8,2,5,2959,8,4,3,7,1,1,0,1,1,1,12,1
167,167,7,3,8,5,5,2959,5,3,1,7,1,1,0,1,1,1,12,1
168,168,28,23,31,3,5,3025,4,4,21,8,1,1,0,1,1,1,1,1
169,169,32,6,11,5,5,3025,10,3,1,8,1,1,0,1,1,1,1,1
170,170,4,0,4,5,5,3025,9,4,3,8,1,1,0,1,1,1,2,1
171,171,37,8,9,4,5,3025,3,4,1,8,1,1,0,1,1,1,2,1
172,172,10,3,7,5,5,3025,6,3,3,8,1,1,0,1,1,1,3,1
173,173,36,30,80,5,5,3025,8,3,3,8,1,1,0,1,1,1,3,1
174,174,31,10,14,4,5,3025,5,4,1,8,1,1,0,1,1,1,4,1
175,175,66,33,60,5,5,3025,10,4,3,8,1,1,0,1,1,1,4,1
176,176,17,4,8,5,5,3025,0,4,33,8,1,1,0,1,1,1,5,2
177,177,57,20,71,5,5,3025,0,2,2,8,1,1,0,1,1,1,5,2
178,178,42,8,22,4,5,3025,6,1,1,8,1,1,0,1,1,1,6,1
179,179,28,20,14,3,5,3025,8,4,1,8,1,1,0,1,1,1,6,1
180,180,19,8,10,4,5,3025,3,1,34,8,1,1,0,1,1,1,7,2
181,181,20,11,21,5,5,3025,9,3,1,8,1,1,0,1,1,1,7,1
182,182,75,19,93,4,5,3025,8,1,2,8,1,1,0,1,1,1,8,2
183,183,91,16,26,4,5,3025,3,2,1,8,1,1,0,1,1,1,8,1
184,184,52,48,78,3,5,3025,8,1,2,8,1,1,0,1,1,1,9,2
185,185,93,4,8,5,5,3025,2,3,1,8,1,1,0,1,1,1,9,1
186,186,9,3,15,5,5,3025,1,3,3,8,1,1,0,1,1,1,10,1
187,187,5,3,9,5,5,3025,2,4,5,8,1,1,0,1,1,1,10,4
188,188,37,7,10,5,5,3025,0,1,35,8,1,1,0,1,1,1,11,3
189,189,31,25,35,3,5,3025,7,3,36,8,1,1,0,1,1,1,11,6
190,190,6,4,4,5,5,3025,7,4,1,8,1,1,0,1,1,1,12,1
191,191,252,55,113,4,5,3025,8,3,1,8,1,1,0,1,1,1,12,1
192,192,164,48,82,5,5,2700,4,4,1,9,1,1,1,1,1,1,1,1
193,193,5,3,9,5,5,2700,4,3,1,9,1,1,1,1,1,1,1,1
194,194,7,5,20,4,5,2700,3,4,3,9,1,1,1,1,1,1,2,1
195,195,18,11,15,5,5,2700,7,4,1,9,1,1,1,1,1,1,2,1
196,196,20,13,16,5,5,2700,6,1,1,9,1,1,1,1,1,1,3,1
197,197,21,5,12,4,5,2700,8,2,1,9,1,1,1,1,1,1,3,1
198,198,125,35,48,5,5,2700,4,2,1,9,1,1,1,1,1,1,4,1
199,199,11,7,10,4,5,2700,1,4,1,9,1,1,1,1,1,1,4,1
200,200,16,10,16,3,5,2700,7,5,35,9,1,1,1,1,1,1,5,3
201,201,19,5,5,5,5,2700,3,4,2,9,1,1,1,1,1,1,5,2
202,202,73,27,365,5,5,2700,6,4,1,9,1,1,1,1,1,1,6,1
203,203,5,4,4,5,5,2700,11,4,1,9,1,1,1,1,1,1,6,1
204,204,30,10,17,5,5,2700,3,4,1,9,1,1,1,1,1,1,7,1
205,205,7,4,10,5,5,2700,3,4,3,9,1,1,1,1,1,1,7,1
206,206,67,46,99,5,5,2700,6,4,3,9,1,1,1,1,1,1,8,1
207,207,18,13,25,5,5,2700,9,5,9,9,1,1,1,1,1,1,8,2
208,208,12,7,11,2,5,2700,4,2,3,9,1,1,1,1,1,1,9,1
209,209,40,12,26,5,5,2700,7,1,3,9,1,1,1,1,1,1,9,1
210,210,142,17,31,4,5,2700,3,4,1,9,1,1,1,1,1,1,10,1
211,211,8,4,16,5,5,2700,7,4,2,9,1,1,1,1,1,1,10,2
212,212,15,9,3,5,5,2700,2,2,37,9,1,1,1,1,1,1,11,1
213,213,2,18,14,5,5,2700,8,4,2,9,1,1,1,1,1,1,11,2
214,214,10,6,10,5,5,2700,5,4,2,9,1,1,1,1,1,1,12,2
215,215,16,13,55,5,5,2700,9,4,1,9,1,1,1,1,1,1,12,1
216,216,21,7,13,5,5,1282,10,5,2,10,1,1,0,1,1,1,1,2
217,217,69,58,41,5,5,1282,5,2,4,10,1,1,0,1,1,1,1,3
218,218,33,13,8,5,5,1282,5,2,1,10,1,1,0,1,1,1,2,1
219,219,1,0,2,5,5,1282,0,3,1,10,1,1,0,1,1,1,2,1
220,220,49,8,23,5,5,1282,5,4,1,10,1,1,0,1,1,1,3,1
221,221,775,52,255,3,5,1282,2,4,1,10,1,1,0,1,1,1,3,1
222,222,16,7,6,4,5,1282,7,4,17,10,1,1,0,1,1,1,4,3
223,223,1,0,1,5,5,1282,0,4,1,10,1,1,0,1,1,1,4,1
224,224,19,11,17,4,5,1282,7,3,35,10,1,1,0,1,1,1,5,3
225,225,7,4,8,5,5,1282,7,3,36,10,1,1,0,1,1,1,5,6
226,226,38,18,16,5,5,1282,8,4,1,10,1,1,0,1,1,1,6,1
227,227,48,14,30,5,5,1282,9,2,1,10,1,1,0,1,1,1,6,1
228,228,136,20,55,5,5,1282,3,3,3,10,1,1,0,1,1,1,7,1
229,229,26,8,1,4,5,1282,6,3,1,10,1,1,0,1,1,1,7,1
230,230,3,3,2,4,5,1282,4,4,38,10,1,1,0,1,1,1,8,3
231,231,78,17,24,5,5,1282,5,4,1,10,1,1,0,1,1,1,8,1
232,232,24,18,12,5,5,1282,0,3,2,10,1,1,0,1,1,1,9,2
233,233,2,0,15,1,5,1282,1,3,8,10,1,1,0,1,1,1,9,5
234,234,4,3,3,5,5,1282,11,1,7,10,1,1,0,1,1,1,10,2
235,235,11,7,17,5,5,1282,2,4,5,10,1,1,0,1,1,1,10,4
236,236,1,0,1,2,5,1282,0,4,23,10,1,1,0,1,1,1,11,2
237,237,35,16,17,4,5,1282,2,3,5,10,1,1,0,1,1,1,11,4
238,238,110,19,76,4,5,1282,2,2,1,10,1,1,0,1,1,1,12,1
239,239,53,25,24,5,5,1282,3,4,1,10,1,1,0,1,1,1,12,1
240,240,320,45,102,3,4.5,188,6,2,39,11,1,0,0,0,1,1,1,3
241,241,2,0,2,4,4.5,188,1,2,1,11,1,0,0,0,1,1,1,1
242,242,26,6,12,5,4.5,188,1,3,1,11,1,0,0,0,1,1,2,1
243,243,4,4,0,5,4.5,188,2,4,1,11,1,0,0,0,1,1,2,1
244,244,9,9,6,2,4.5,188,1,5,1,11,1,0,0,0,1,1,3,1
245,245,17,14,70,5,4.5,188,10,1,1,11,1,0,0,0,1,1,3,1
246,246,3,0,1,5,4.5,188,1,4,3,11,1,0,0,0,1,1,4,1
247,247,14,0,4,2,4.5,188,4,3,3,11,1,0,0,0,1,1,4,1
248,248,235,111,267,5,4.5,188,9,1,1,11,1,0,0,0,1,1,5,1
249,249,59,9,21,5,4.5,188,3,4,1,11,1,0,0,0,1,1,5,1
250,250,2,0,2,5,4.5,188,0,1,1,11,1,0,0,0,1,1,6,1
251,251,2,0,1,5,4.5,188,0,4,1,11,1,0,0,0,1,1,6,1
252,252,21,18,53,5,4.5,188,11,4,1,11,1,0,0,0,1,1,7,1
253,253,4,0,16,1,4.5,188,0,1,1,11,1,0,0,0,1,1,7,1
254,254,184,52,70,5,4.5,188,3,4,12,11,1,0,0,0,1,1,8,2
255,255,262,75,150,4,4.5,188,2,3,2,11,1,0,0,0,1,1,8,2
256,256,69,11,17,5,4.5,188,0,4,1,11,1,0,0,0,1,1,9,1
257,257,92,12,27,4,4.5,188,2,2,5,11,1,0,0,0,1,1,9,4
258,258,131,61,116,3,4.5,188,8,3,1,11,1,0,0,0,1,1,10,1
259,259,25,10,16,5,4.5,188,8,1,32,11,1,0,0,0,1,1,10,2
260,260,49,22,53,3,4.5,188,5,4,3,11,1,0,0,0,1,1,11,1
261,261,148,33,55,4,4.5,188,3,2,1,11,1,0,0,0,1,1,11,1
262,262,26,7,22,4,4.5,188,4,4,3,11,1,0,0,0,1,1,12,1
263,263,13,4,1,4,4.5,188,2,4,1,11,1,0,0,0,1,1,12,1
264,264,3,3,20,1,5,2034,5,2,25,12,1,1,0,1,1,1,1,3
265,265,46,12,87,5,5,2034,3,4,1,12,1,1,0,1,1,1,1,1
266,266,127,40,81,4,5,2034,8,4,2,12,1,1,0,1,1,1,2,2
267,267,15,5,12,5,5,2034,4,2,1,12,1,1,0,1,1,1,2,1
268,268,16,14,23,5,5,2034,7,4,1,12,1,1,0,1,1,1,3,1
269,269,113,38,27,4,5,2034,1,1,1,12,1,1,0,1,1,1,3,1
270,270,7,5,5,3,5,2034,7,3,2,12,1,1,0,1,1,1,4,2
271,271,73,32,99,4,5,2034,10,1,40,12,1,1,0,1,1,1,4,6
272,272,35,12,3,5,5,2034,2,2,1,12,1,1,0,1,1,1,5,1
273,273,139,20,86,5,5,2034,5,1,2,12,1,1,0,1,1,1,5,2
274,274,28,12,30,5,5,2034,2,4,2,12,1,1,0,1,1,1,6,2
275,275,34,8,26,4,5,2034,4,2,1,12,1,1,0,1,1,1,6,1
276,276,4,3,5,5,5,2034,3,1,1,12,1,1,0,1,1,1,7,1
277,277,32,11,14,5,5,2034,3,3,1,12,1,1,0,1,1,1,7,1
278,278,9,3,4,5,5,2034,1,3,2,12,1,1,0,1,1,1,8,2
279,279,333,58,200,5,5,2034,4,3,1,12,1,1,0,1,1,1,8,1
280,280,29,11,15,5,5,2034,6,4,1,12,1,1,0,1,1,1,9,1
281,281,85,43,68,5,5,2034,5,1,2,12,1,1,0,1,1,1,9,2
282,282,12,5,1,5,5,2034,5,4,1,12,1,1,0,1,1,1,10,1
283,283,34,10,7,4,5,2034,4,2,2,12,1,1,0,1,1,1,10,2
284,284,13,7,8,5,5,2034,5,4,4,12,1,1,0,1,1,1,11,3
285,285,5,5,14,5,5,2034,5,4,1,12,1,1,0,1,1,1,11,1
286,286,169,25,41,5,5,2034,8,1,1,12,1,1,0,1,1,1,12,1
287,287,11,10,6,5,5,2034,7,2,1,12,1,1,0,1,1,1,12,1
288,288,4,3,2,5,3.5,1228,6,4,1,13,1,1,0,1,1,1,1,1
289,289,50,39,48,2,3.5,1228,10,3,1,13,1,1,0,1,1,1,1,1
290,290,10,3,1,5,3.5,1228,4,2,21,13,1,1,0,1,1,1,2,1
291,291,7,4,4,5,3.5,1228,1,4,3,13,1,1,0,1,1,1,2,1
292,292,60,7,42,5,3.5,1228,8,4,2,13,1,1,0,1,1,1,3,2
293,293,92,49,18,4,3.5,1228,5,4,12,13,1,1,0,1,1,1,3,2
294,294,106,37,58,4,3.5,1228,3,2,5,13,1,1,0,1,1,1,4,4
295,295,7,5,45,4,3.5,1228,10,3,3,13,1,1,0,1,1,1,4,1
296,296,37,31,38,5,3.5,1228,9,3,36,13,1,1,0,1,1,1,5,6
297,297,70,25,19,1,3.5,1228,3,4,1,13,1,1,0,1,1,1,5,1
298,298,9,3,4,5,3.5,1228,1,1,1,13,1,1,0,1,1,1,6,1
299,299,11,6,7,5,3.5,1228,1,5,1,13,1,1,0,1,1,1,6,1
300,300,39,18,9,4,3.5,1228,4,3,9,13,1,1,0,1,1,1,7,2
301,301,10,0,9,5,3.5,1228,1,3,2,13,1,1,0,1,1,1,7,2
302,302,78,17,24,4,3.5,1228,5,4,1,13,1,1,0,1,1,1,8,1
303,303,48,21,19,5,3.5,1228,4,3,2,13,1,1,0,1,1,1,8,2
304,304,112,34,41,5,3.5,1228,7,3,3,13,1,1,0,1,1,1,9,1
305,305,28,17,14,5,3.5,1228,2,5,1,13,1,1,0,1,1,1,9,1
306,306,11,3,16,2,3.5,1228,2,4,2,13,1,1,0,1,1,1,10,2
307,307,9,5,11,4,3.5,1228,9,2,1,13,1,1,0,1,1,1,10,1
308,308,4,4,1,3,3.5,1228,0,3,1,13,1,1,0,1,1,1,11,1
309,309,22,15,25,4,3.5,1228,6,3,21,13,1,1,0,1,1,1,11,1
310,310,42,11,36,5,3.5,1228,7,4,1,13,1,1,0,1,1,1,12,1
311,311,20,16,9,4,3.5,1228,7,4,5,13,1,1,0,1,1,1,12,4
312,312,160,34,88,4,3.5,732,6,2,3,14,1,1,0,0,1,1,1,1
313,313,372,78,169,4,3.5,732,4,2,1,14,1,1,0,0,1,1,1,1
314,314,84,18,36,5,3.5,732,4,3,1,14,1,1,0,0,1,1,2,1
315,315,21,13,20,5,3.5,732,5,2,1,14,1,1,0,0,1,1,2,1
316,316,95,37,55,4,3.5,732,6,1,2,14,1,1,0,0,1,1,3,2
317,317,118,107,131,5,3.5,732,10,2,23,14,1,1,0,0,1,1,3,2
318,318,6,0,8,5,3.5,732,10,4,3,14,1,1,0,0,1,1,4,1
319,319,60,4,31,4,3.5,732,2,4,1,14,1,1,0,0,1,1,4,1
320,320,275,79,339,4,3.5,732,7,4,5,14,1,1,0,0,1,1,5,4
321,321,46,39,42,4,3.5,732,6,2,3,14,1,1,0,0,1,1,5,1
322,322,6,5,6,5,3.5,732,4,3,1,14,1,1,0,0,1,1,6,1
323,323,11,0,5,5,3.5,732,0,3,5,14,1,1,0,0,1,1,6,4
324,324,75,37,48,5,3.5,732,6,4,1,14,1,1,0,0,1,1,7,1
325,325,240,76,115,5,3.5,732,3,4,41,14,1,1,0,0,1,1,7,2
326,326,20,12,7,5,3.5,732,1,3,42,14,1,1,0,0,1,1,8,3
327,327,62,40,25,5,3.5,732,5,3,27,14,1,1,0,0,1,1,8,3
328,328,88,19,58,5,3.5,732,1,1,43,14,1,1,0,0,1,1,9,1
329,329,6,3,5,5,3.5,732,0,1,1,14,1,1,0,0,1,1,9,1
330,330,18,9,8,3,3.5,732,7,2,25,14,1,1,0,0,1,1,10,3
331,331,159,43,78,5,3.5,732,4,3,21,14,1,1,0,0,1,1,10,1
